,Name,person,box,gender,gender_conf,age,age_conf
0,Thomas_Brodie-Sangster_by_Gage_Skidmore.jpg,0,"[164, 84, 517, 305]",Male,0.99512947,(25-32),0.43643218
1,Trump.jpeg,0,"[203, 107, 424, 272]",Male,0.9999995,(38-43),0.5127126
